"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R4,R3,R2,R1";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";4;"4K7";;;
2;"SW1";"SW_DIP_SPSTx04_Slide_9.78x12.34mm_W7.62mm_P2.54mm";1;"ROM_SEL";;;
3;"HOLE1,HOLE2";"MountingHole_2.2mm_M2_Pad_Via";2;"MountingHole_2.2mm_M2_Pad_Via";;;
4;"J2";"PinHeader_1x05_P2.54mm_Horizontal";1;"CABLE_CONN2";;;
5;"U3";"DIP-28_W15.24mm";1;"27C128";;;
6;"J1";"PinHeader_1x05_P2.54mm_Horizontal";1;"CABLE_CONN1";;;
7;"U4";"DIP-28_W15.24mm";1;"27C512";;;
8;"U2";"DIP-32_W15.24mm";1;"27C010";;;
9;"U1";"DIP-28_W15.24mm";1;"27C256";;;
